Order Number,Customer Name,Customer Email,Status,Payment Status,Total,Item Count,Items,City,State,Created At
,srikrishna Developer,,processing,unpaid,159.99,1,Red Beats AirPods x1,Bangalore,Bangalore,"""2025-12-08T05:09:32.039Z"""
,srikrishna Developer,,pending,unpaid,319.98,1,Red Beats AirPods x2,Bangalore,Bangalore,"""2025-12-08T05:07:52.964Z"""
,srikrishna,srikrishnawebdeveloper@gmail.com,pending,unpaid,29.99,1,Watch Strappee x1,Coimbatore,Coimbatore,"""2025-12-08T04:38:51.338Z"""
,srikrishna,srikrishnawebdeveloper@gmail.com,pending,unpaid,156.96,4,USB-C Cable x1; Two Device Wireless Charger x1; Three Device Wireless Charger x2; awd x1,Coimbatore,Coimbatore,"""2025-12-08T04:35:32.057Z"""
,srikrishna,srikrishnawebdeveloper@gmail.com,pending,unpaid,54.980000000000004,2,Watch Strappee x1; Two Device Wireless Charger x1,Coimbatore,Coimbatore,"""2025-12-08T04:26:16.913Z"""
,srikrishna,srikrishnawebdeveloper@gmail.com,pending,unpaid,224.93,5,awd x1; Watch Strappee x1; Two Device Wireless Charger x2; USB-C Cable x2; Three Device Wireless Charger x2,Coimbatore,Coimbatore,"""2025-12-08T04:12:24.399Z"""
,srikrishna,srikrishnawebdeveloper@gmail.com,pending,unpaid,19,1,awd x1,Coimbatore,Coimbatore,"""2025-12-08T04:11:30.884Z"""
,srikrishna,srikrishnawebdeveloper@gmail.com,pending,unpaid,58.98,2,awd x1; Watch Strappee x2,Coimbatore,Coimbatore,"""2025-12-06T15:42:52.140Z"""
,srikrishna,srikrishnawebdeveloper@gmail.com,pending,unpaid,28,1,awd x2,Coimbatore,Coimbatore,"""2025-12-06T15:35:44.126Z"""
,srikrishna,srikrishnawebdeveloper@gmail.com,pending,unpaid,29.99,1,Watch Strappee x1,Coimbatore,Tamil Nadu,"""2025-12-06T15:28:54.913Z"""
,srikrishna,,pending,unpaid,479.97,1,Red Beats AirPods x3,Coimbatore,Choose your country,"""2025-12-02T14:43:33.052Z"""
,srikrishna,,delivered,unpaid,159.99,1,Red Beats AirPods x1,Coimbatore,Choose your country,"""2025-12-02T13:43:57.966Z"""
,Test User E2E,,processing,unpaid,144.97,3,Wireless White Beats Earbuds x1; Two Device Wireless Charger x1; Phone Case x1,Bangalore,Bangalore,"""2025-11-29T11:01:20.606Z"""
,Test User,testaddress@test.com,shipped,unpaid,29.99,1,Watch Strappee x1,Mumbai,Mumbai,"""2025-11-29T09:15:45.662Z"""
,Test User,testaddress@test.com,shipped,unpaid,22.990000000000002,1,USB-C Cable x1,Mumbai,Mumbai,"""2025-11-29T09:08:13.132Z"""
